FID	IID	SEX
HG02102	HG02102	2
HG02104	HG02104	1
HG02105	HG02105	2
HG02107	HG02107	1
HG02108	HG02108	2
HG02111	HG02111	2
HG02113	HG02113	2
HG02116	HG02116	1
HG02121	HG02121	2
HG02122	HG02122	1
HG02127	HG02127	2
HG02128	HG02128	1
HG02130	HG02130	2
HG02131	HG02131	1
HG02133	HG02133	2
HG02134	HG02134	1
HG02136	HG02136	2
HG02137	HG02137	1
HG02138	HG02138	1
HG02139	HG02139	2
HG02140	HG02140	2
HG02141	HG02141	1
HG02142	HG02142	2
HG02143	HG02143	1
HG02144	HG02144	2
HG02146	HG02146	1
HG02147	HG02147	2
HG02150	HG02150	1
HG02151	HG02151	2
HG02152	HG02152	2
HG02153	HG02153	2
HG02154	HG02154	2
HG02155	HG02155	2
HG02156	HG02156	2
HG02164	HG02164	2
HG02165	HG02165	2
HG02166	HG02166	2
HG02178	HG02178	2
HG02179	HG02179	2
HG02180	HG02180	2
HG02181	HG02181	2
HG02182	HG02182	2
HG02184	HG02184	2
HG02185	HG02185	2
HG02186	HG02186	2
HG02187	HG02187	2
HG02188	HG02188	2
HG02190	HG02190	2
HG02215	HG02215	2
HG02219	HG02219	1
HG02220	HG02220	2
HG02221	HG02221	1
HG02223	HG02223	2
HG02224	HG02224	1
HG02230	HG02230	2
HG02231	HG02231	1
HG02232	HG02232	2
HG02233	HG02233	1
HG02235	HG02235	2
HG02236	HG02236	1
HG02238	HG02238	1
HG02239	HG02239	2
HG02250	HG02250	1
HG02252	HG02252	2
HG02253	HG02253	1
HG02255	HG02255	1
HG02256	HG02256	2
HG02259	HG02259	1
HG02260	HG02260	2
HG02262	HG02262	1
HG02265	HG02265	1
HG02266	HG02266	2
HG02271	HG02271	1
HG02272	HG02272	2
HG02274	HG02274	1
HG02275	HG02275	2
HG02277	HG02277	1
HG02278	HG02278	2
HG02281	HG02281	1
HG02282	HG02282	2
HG02283	HG02283	1
HG02284	HG02284	1
HG02285	HG02285	1
HG02286	HG02286	2
HG02291	HG02291	1
HG02292	HG02292	2
HG02298	HG02298	2
HG02299	HG02299	1
HG02301	HG02301	2
HG02304	HG02304	1
HG02307	HG02307	1
HG02308	HG02308	2
HG02309	HG02309	2
HG02312	HG02312	2
HG02314	HG02314	1
HG02315	HG02315	2
HG02317	HG02317	1
HG02318	HG02318	2
HG02322	HG02322	2
HG02323	HG02323	1
HG02325	HG02325	2
HG02330	HG02330	1
HG02332	HG02332	1
HG02334	HG02334	1
HG02337	HG02337	2
HG02339	HG02339	2
HG02343	HG02343	1
HG02345	HG02345	2
HG02348	HG02348	2
HG02351	HG02351	1
HG02353	HG02353	1
HG02355	HG02355	1
HG02356	HG02356	1
HG02360	HG02360	1
HG02364	HG02364	1
HG02367	HG02367	1
HG02371	HG02371	1
